txn_id,date,amount,currency,channel,description
BNK-7F054CBA,2025-09-24,779.55,AED,CARD,Amazon AE
PAY-45B13C68,2025-08-28,195.68,AED,CARD,Noon.com
POS-288C2691,2025-10-10,821.36,AED,WALLET,مترو دبي - نول
CRD-99711BEB,2025-08-18,69.36,AED,CARD,Shake Shack
CRD-9383BC6E,2025-10-01,96.75,AED,A2A,Costa Coffee
POS-948AD76F,2025-09-10,117.98,AED,WALLET,Domino's
BNK-83CE657B,2025-10-01,556.65,AED,A2A,تبرع جمعية الهلال الأحمر
PAY-CA361FA0,2025-07-28,320.56,AED,CARD,شحن رصيد نول
PAY-BEFB9B67,2025-10-05,519.22,AED,A2A,NMC Hospital
A2A-FAA228F7,2025-08-02,222.39,AED,A2A,مواقف أبوظبي
POS-5487CD9F,2025-08-06,74.08,AED,A2A,Mawaqif Parking Abu Dhabi
CRD-8E1219A7,2025-09-16,122.94,AED,CARD,محطة أدنوك
POS-A5C0DC75,2025-09-06,877.87,AED,A2A,Spinneys Jumeirah
POS-0D7740AA,2025-09-09,1064.44,AED,CARD,Emax Electronics
CRD-52810058,2025-08-13,1841.53,AED,CARD,Emirates Airline
PAY-019CAAC2,2025-08-19,212.68,AED,CARD,Shake Shack
A2A-0C2A0082,2025-08-24,595.48,AED,CARD,ADDC Bill Payment
BNK-7199C15D,2025-10-02,66.31,AED,A2A,VOX Cinemas
A2A-07F10699,2025-10-15,326.66,AED,A2A,Papa John's
BNK-0A00483A,2025-10-06,340.85,AED,CARD,مواقف أبوظبي
CRD-78485535,2025-08-18,167.09,AED,WALLET,Dubai Duty Free
BNK-6471860E,2025-09-27,439.84,AED,CARD,Union Coop Al Barsha
POS-2ACB809E,2025-07-31,879.43,AED,CARD,اتصالات - دفع
A2A-CC0463FF,2025-08-15,281.06,AED,CARD,Tim Hortons
POS-594646E4,2025-08-08,149.56,AED,CARD,Mawaqif Parking Abu Dhabi
PAY-9E83F97B,2025-10-13,291.32,AED,CARD,اتصالات - Recharge e&
POS-9EEF7679,2025-08-02,94.59,AED,A2A,KFC UAE
PAY-AE1C51E9,2025-08-04,200.24,AED,A2A,KFC UAE
POS-9CEBF6CF,2025-10-01,809.50,AED,A2A,محطة أدنوك
POS-5F0B1289,2025-09-09,1078.63,AED,REM,Noon.com
A2A-A49C3D5E,2025-09-06,144.67,AED,A2A,Fitness First Monthly
BNK-F8502928,2025-08-06,513.36,AED,CARD,سالك - تعبئة
POS-19F02D74,2025-08-21,118.63,AED,A2A,Talabat Order
POS-7E8EA3E2,2025-08-31,103.23,AED,CARD,ADNOC Service Station Abu Dhabi
A2A-F0DB3FAD,2025-08-15,20.12,AED,A2A,Emax Electronics
CRD-3E0E29D3,2025-07-31,39.87,AED,A2A,Shahid VIP
POS-F33A1DDD,2025-09-22,238.35,AED,CARD,Etisalat Recharge
PAY-2CC45975,2025-10-13,544.75,AED,A2A,DEWA Online Payment - Dubai Electricity
PAY-79C540D1,2025-08-14,319.10,AED,A2A,RTA Taxi
POS-AB7B2850,2025-08-18,115.44,AED,REM,Mawaqif Parking Abu Dhabi
PAY-6D558B67,2025-10-23,17.80,AED,CARD,STARZPLAY Arabia
A2A-1B8D73F3,2025-09-18,119.56,AED,CARD,ADNOC Service Station Abu Dhabi
POS-00D4B59E,2025-08-22,627.03,AED,A2A,AADC Payment
A2A-529C70B4,2025-08-09,714.15,AED,CARD,Supercare Pharmacy
POS-15798C14,2025-08-31,1154.70,AED,A2A,Jumbo Electronics
POS-D21F4789,2025-09-04,677.94,AED,CARD,NMC Hospital
A2A-2676EEAD,2025-08-06,57.67,AED,WALLET,du Bill Payment
BNK-A6018EE3,2025-08-29,393.92,AED,SO,اتصالات - Recharge e&
CRD-11D704F5,2025-09-24,568.35,AED,CARD,ACE Hardware Dubai
PAY-B714415E,2025-08-13,603.98,AED,CARD,Amazon AE
POS-60620707,2025-10-15,141.54,AED,CARD,Fitness First Monthly
CRD-65BCEF08,2025-09-13,66.12,AED,CARD,McDonald's UAE
A2A-C6B79C04,2025-10-18,143.47,AED,CARD,Spinneys Jumeirah
BNK-CC6D24A2,2025-10-21,96.88,AED,A2A,Dubai Taxi
POS-60E41C2E,2025-08-02,660.74,AED,CARD,Grandiose Supermarket
A2A-EBFE6229,2025-10-18,728.58,AED,CARD,SEWA Bill Payment
POS-B8E7CC65,2025-09-23,90.42,AED,CARD,اتصالات - دفع
CRD-BFC2156E,2025-10-16,740.86,AED,CARD,IKEA Dubai Festival City
POS-2AC12CB3,2025-10-07,488.66,AED,WALLET,Dragon Mart Purchase
A2A-8435310A,2025-08-15,270.79,AED,A2A,Pizza Hut
PAY-519F244A,2025-10-23,817.56,AED,CARD,دفع ديوا
BNK-42B89067,2025-10-24,158.17,AED,CARD,Dubai Duty Free
CRD-0C0737CD,2025-09-12,146.43,AED,CARD,Deliveroo Payment
PAY-1849D36F,2025-08-19,74.55,AED,CARD,STARZPLAY Arabia
POS-461BAAEB,2025-08-10,73.59,AED,SO,Roxy Cinemas
BNK-E9BCDA43,2025-08-05,81.77,AED,CARD,Union Coop Al Barsha
BNK-2D9E3A4C,2025-10-22,131.35,AED,CARD,Burger King
BNK-BAA8AFAB,2025-08-14,779.07,AED,A2A,Lulu Hypermarket Dubai
A2A-7E706990,2025-09-21,339.30,AED,CARD,تبرع جمعية الهلال الأحمر
A2A-E870908E,2025-09-19,238.07,AED,CARD,Zomato UAE
PAY-A87ED6E5,2025-10-17,225.83,AED,A2A,Zomato UAE
PAY-A51BDB34,2025-08-19,418.02,AED,A2A,du Bill Payment
PAY-50C332B2,2025-10-02,668.39,AED,CARD,Sharaf DG Electronics
PAY-28A47E27,2025-09-11,922.81,AED,CARD,Mediclinic Dubai
POS-C11293B1,2025-08-20,172.74,AED,A2A,ADNOC Service Station Abu Dhabi
A2A-DAFC6559,2025-07-26,25.59,AED,WALLET,Costa Coffee
BNK-56B6E13C,2025-10-21,113.88,AED,WALLET,RTA NOL Recharge
CRD-5A67E751,2025-08-28,21.28,AED,CARD,Mawaqif Parking Abu Dhabi
A2A-416D4E69,2025-08-11,355.50,AED,A2A,دفع ديوا
A2A-DE7A129B,2025-08-17,798.37,AED,CARD,Dragon Mart Purchase
BNK-8F92EF93,2025-08-31,638.96,AED,CARD,SEWA Bill Payment
POS-38AC292C,2025-09-20,894.93,AED,A2A,دفع ديوا
CRD-EA600A92,2025-10-12,128.61,AED,CARD,محطة أدنوك
BNK-A911EA12,2025-08-12,158.16,AED,A2A,IKEA Dubai Festival City
A2A-44D7C720,2025-08-12,132.22,AED,WALLET,تبرع زكاة
A2A-6EDFCD24,2025-09-28,148.01,AED,CARD,Mawaqif Parking Abu Dhabi
PAY-EC1299BF,2025-09-30,1783.18,AED,CARD,Etihad Airways
POS-ED273289,2025-07-30,224.46,AED,CARD,du Bill Payment
CRD-4626092A,2025-09-08,97.73,AED,CARD,Careem Ride
PAY-8E14F054,2025-10-18,60.14,AED,A2A,Careem Ride
A2A-B7DB4A50,2025-10-09,321.74,AED,WALLET,Costa Coffee
A2A-C9466847,2025-08-31,252.52,AED,A2A,Union Coop Al Barsha
A2A-CB4CBEFC,2025-10-06,834.02,AED,CARD,Airbnb
PAY-5CEF361D,2025-08-25,212.45,AED,CARD,Talabat Order
A2A-B19DB04A,2025-08-31,778.50,AED,WALLET,Union Coop Al Barsha
PAY-4C7BC0A1,2025-07-29,202.13,AED,CARD,Emarat Service Station
PAY-E2741369,2025-09-01,171.62,AED,CARD,Emarat Service Station
A2A-21416838,2025-10-02,224.09,AED,CARD,Deliveroo Payment
BNK-10782955,2025-10-06,86.33,AED,CARD,Burger King
A2A-A39B47E6,2025-08-03,187.31,AED,A2A,Zakat Fund Donation
PAY-04EB84C1,2025-09-23,401.20,AED,CARD,دفع ديوا
POS-FB6CC255,2025-09-08,20.17,AED,A2A,Tim Hortons
PAY-D32A093B,2025-08-01,112.57,AED,A2A,Careem Ride
POS-B35BAADA,2025-09-30,92.38,AED,CARD,Deliveroo Payment
A2A-EECE3E0A,2025-09-26,493.84,AED,WALLET,AADC Payment
PAY-96BAA39F,2025-07-28,790.89,AED,A2A,DEWA Online Payment - Dubai Electricity
BNK-D33CAFAA,2025-09-12,262.98,AED,CARD,فاتورة دو
PAY-3EACCA91,2025-08-30,1895.56,AED,CARD,Hala Taxi
PAY-5E8D17ED,2025-08-25,52.40,AED,WALLET,ENOC EPPCO Service Station
A2A-05A022B0,2025-09-18,892.39,AED,A2A,Lulu Hypermarket Dubai
PAY-AF315BA7,2025-08-22,83.28,AED,CARD,Emarat Service Station
BNK-2CA317F3,2025-08-15,702.39,AED,CARD,Spinneys Jumeirah
BNK-3CA178F4,2025-09-15,266.79,AED,A2A,فاتورة دو
BNK-56BBD2E2,2025-09-19,74.23,AED,A2A,Dubai Taxi
CRD-B33606E0,2025-08-30,109.91,AED,CARD,مواقف أبوظبي
CRD-65FE1CEC,2025-09-17,288.68,AED,A2A,Sharaf DG Electronics
A2A-8D4C8F42,2025-09-13,71.61,AED,CARD,Dubai Taxi
CRD-4B2106AC,2025-09-21,136.45,AED,A2A,اتصالات - دفع
A2A-8C07E973,2025-09-06,28.16,AED,CARD,GymNation Membership
BNK-E18E4EB3,2025-10-24,598.73,AED,CARD,AADC Payment
POS-0383EFE4,2025-10-16,165.72,AED,CARD,اتصالات - دفع
CRD-84D092BC,2025-08-03,141.09,AED,A2A,اتصالات - دفع
CRD-89A7FFE2,2025-08-15,126.02,AED,WALLET,Salik Top-up
A2A-6E6807AD,2025-08-28,236.51,AED,CARD,مترو دبي - نول
A2A-6667BB7E,2025-07-26,24.33,AED,CARD,Dubai Taxi
A2A-06998A28,2025-08-21,85.43,AED,CARD,Lulu Hypermarket Dubai
CRD-9A01479A,2025-09-05,621.17,AED,CARD,Dubai Duty Free
PAY-2E2D2A6C,2025-08-16,784.39,AED,REM,محطة أدنوك
POS-B2F0A02C,2025-08-05,64.69,AED,WALLET,Deliveroo Payment
A2A-C03E92BB,2025-10-13,148.36,AED,A2A,Nando's
POS-E08356BF,2025-08-12,1075.95,AED,CARD,Lulu Hypermarket Dubai
PAY-8F7ACC5B,2025-08-14,466.41,AED,CARD,FEWA Payment
POS-AD1D3D45,2025-08-19,219.23,AED,CARD,Shake Shack
CRD-538978E0,2025-09-11,273.75,AED,A2A,تبرع جمعية الهلال الأحمر
CRD-1EF84B4A,2025-07-26,89.05,AED,CARD,Five Guys
PAY-78CB996D,2025-09-13,174.18,AED,A2A,Noon.com
CRD-2672BB10,2025-09-11,65.16,AED,CARD,ENOC EPPCO Service Station
BNK-B72E29F9,2025-08-24,598.06,AED,CARD,سالك - تعبئة
PAY-43724D97,2025-07-29,64.94,AED,A2A,Emirates Red Crescent Donation
POS-12A5C0A1,2025-10-01,155.10,AED,CARD,Shahid VIP
POS-7034920B,2025-10-08,127.51,AED,A2A,Careem Ride
BNK-44506CCF,2025-09-02,887.85,AED,CARD,IKEA Dubai Festival City
BNK-A06CDD6B,2025-09-01,126.72,AED,CARD,محطة أدنوك
PAY-FFA67A12,2025-08-18,56.66,AED,CARD,Virgin Mobile UAE
CRD-6D4B1259,2025-10-01,767.92,AED,WALLET,Dubai Duty Free
PAY-A3A905B6,2025-10-06,812.48,AED,CARD,Mediclinic Dubai
A2A-04A55F77,2025-08-15,515.06,AED,CARD,Dubai Duty Free
PAY-0C58CFE1,2025-09-14,655.58,AED,CARD,Amazon AE
POS-F6A44200,2025-08-19,106.89,AED,A2A,ENOC EPPCO Service Station
PAY-A1B32438,2025-10-10,147.47,AED,CARD,اتصالات - دفع
A2A-4A302D13,2025-08-08,209.09,AED,CARD,Noon.com
CRD-1174DCC4,2025-10-17,100.44,AED,A2A,Emarat Service Station
A2A-EDF83EC2,2025-10-12,261.85,AED,CARD,Costa Coffee
BNK-57AD2855,2025-10-03,52.67,AED,WALLET,Dubai Duty Free
PAY-1D87DDB1,2025-08-16,132.89,AED,A2A,Fitness First Monthly
A2A-4F197424,2025-09-03,1033.68,AED,A2A,Noon.com
POS-72D9AA9D,2025-10-10,95.70,AED,CARD,اتصالات - Recharge e&
BNK-ADE0FF0F,2025-09-16,1327.40,AED,A2A,Uber UAE
BNK-4C0120FD,2025-09-07,329.26,AED,CARD,فاتورة دو
CRD-CCF1B2ED,2025-10-10,464.50,AED,CARD,Dragon Mart Purchase
CRD-4E275ED2,2025-08-07,139.50,AED,CARD,Dubai Taxi
POS-48790B4E,2025-09-13,876.04,AED,CARD,FEWA Payment
PAY-86CC270A,2025-08-24,694.10,AED,A2A,SEWA Bill Payment
CRD-8F5A20F6,2025-10-13,168.26,AED,CARD,McDonald's UAE
A2A-25CD9E9E,2025-10-23,259.58,AED,CARD,Zomato UAE
BNK-74C5070D,2025-09-27,121.91,AED,CARD,Sharaf DG Electronics
PAY-F7DC99C6,2025-10-17,861.75,AED,CARD,Supercare Pharmacy
POS-46939749,2025-08-08,538.13,AED,CARD,AADC Payment
BNK-7D6594BE,2025-07-28,125.66,AED,CARD,دفع ديوا
A2A-01BE38CF,2025-08-12,438.94,AED,CARD,Virgin Mobile UAE
PAY-FEE59D45,2025-08-04,19.25,AED,WALLET,Costa Coffee
POS-397934B0,2025-08-16,207.39,AED,CARD,Emarat Service Station
BNK-9B533FB3,2025-08-18,128.60,AED,CARD,Careem Ride
CRD-2FC058F2,2025-08-02,136.51,AED,A2A,Costa Coffee
A2A-D0832670,2025-08-10,104.29,AED,CARD,مواقف أبوظبي
PAY-9F79D24F,2025-08-10,29.58,AED,CARD,Starbucks
BNK-E87AEB4C,2025-08-25,826.14,AED,A2A,Etihad Airways
A2A-47BC4C15,2025-10-23,398.16,AED,CARD,اتصالات - Recharge e&
POS-7ACCFF4F,2025-09-27,602.51,AED,CARD,Spinneys Jumeirah
POS-F4207677,2025-10-23,399.04,AED,CARD,Emax Electronics
CRD-7DEB8DD5,2025-10-13,1146.74,AED,WALLET,Hala Taxi
CRD-BFDD93D1,2025-09-18,148.10,AED,CARD,Noon.com
PAY-3116AFB0,2025-09-15,100.63,AED,A2A,Salik Top-up
A2A-DF337075,2025-08-06,312.61,AED,REM,سالك - تعبئة
BNK-E24E902C,2025-10-03,1003.85,AED,CARD,محطة أدنوك
PAY-89C694D1,2025-09-30,57.27,AED,CARD,Papa John's
POS-3547C115,2025-09-14,999.98,AED,CARD,NMC Hospital
CRD-E731ADDB,2025-09-03,127.01,AED,A2A,Talabat Order
BNK-C2CC1B5B,2025-09-22,396.14,AED,A2A,Etisalat Recharge
A2A-296FEE47,2025-09-27,685.70,AED,CARD,FEWA Payment
BNK-6B462180,2025-10-14,142.21,AED,A2A,STARZPLAY Arabia
POS-B2B57177,2025-08-23,585.71,AED,A2A,محطة أدنوك
PAY-E2C26022,2025-10-23,312.37,AED,CARD,شحن رصيد نول
CRD-16FD559F,2025-10-23,891.95,AED,CARD,دفع ديوا
PAY-F6E55E16,2025-08-18,18.61,AED,CARD,Domino's
BNK-5F06BF0A,2025-10-15,15.30,AED,CARD,سالك - تعبئة
BNK-DD71BF98,2025-10-20,435.19,AED,WALLET,Virgin Mobile UAE
BNK-0AE8FB8E,2025-09-25,436.75,AED,CARD,مترو دبي - نول
PAY-4240D08B,2025-07-28,84.14,AED,CARD,Nando's
POS-F0803F1F,2025-09-25,41.12,AED,CARD,مترو دبي - نول
BNK-66C7F271,2025-09-23,807.68,AED,CARD,DEWA Online Payment - Dubai Electricity
POS-0A76C7D7,2025-10-18,236.98,AED,A2A,Emax Electronics
POS-CADAB0F6,2025-07-30,515.65,AED,CARD,FEWA Payment
POS-AF5DED8D,2025-09-21,354.67,AED,CARD,DEWA Online Payment - Dubai Electricity
POS-6473CE35,2025-10-18,642.69,AED,CARD,Noon.com
BNK-C6E3ED91,2025-08-04,146.98,AED,A2A,Roxy Cinemas
BNK-1B1BBB84,2025-09-07,111.72,AED,CARD,مواقف أبوظبي
PAY-94E4AE3D,2025-09-14,96.08,AED,CARD,دفع ديوا
BNK-E2B25C0D,2025-10-24,50.82,AED,CARD,Nando's
BNK-DFC757A5,2025-10-14,418.85,AED,WALLET,Dubai Duty Free
CRD-B5CD7E95,2025-09-05,129.11,AED,A2A,تبرع زكاة
A2A-6C0AE439,2025-08-27,789.02,AED,CARD,Amazon AE
BNK-FE61844C,2025-10-02,1506.71,AED,CARD,Hala Taxi
CRD-48C987A8,2025-10-08,16.33,AED,A2A,Mawaqif Parking Abu Dhabi
CRD-51FCC729,2025-09-04,626.93,AED,CARD,Lulu Hypermarket Dubai
POS-9A09AFF7,2025-10-05,843.23,AED,CARD,Virgin Megastore Dubai Mall
POS-468A76F5,2025-07-30,557.07,AED,CARD,SEWA Bill Payment
A2A-B5A29769,2025-08-01,102.69,AED,CARD,اتصالات - دفع
BNK-5C69A2A9,2025-08-24,406.99,AED,A2A,Emax Electronics
CRD-1085BBFB,2025-09-19,100.25,AED,CARD,مترو دبي - نول
A2A-46153F65,2025-09-20,290.82,AED,WALLET,Deliveroo Payment
A2A-1F3A1B4B,2025-08-13,137.80,AED,CARD,ENOC EPPCO Service Station
A2A-74D1234C,2025-08-28,604.85,AED,CARD,FEWA Payment
PAY-7B26BD6D,2025-08-29,202.11,AED,CARD,Subway
PAY-5A8956E0,2025-09-22,121.64,AED,CARD,Mawaqif Parking Abu Dhabi
CRD-FD928629,2025-08-23,655.42,AED,CARD,محطة أدنوك
CRD-607198B0,2025-08-20,327.73,AED,A2A,Virgin Mobile UAE
CRD-932BC0DB,2025-10-24,413.07,AED,CARD,FEWA Payment
BNK-6BA08D52,2025-10-05,167.66,AED,CARD,McDonald's UAE
PAY-451F036A,2025-08-23,615.80,AED,CARD,Amazon AE
CRD-B435BF29,2025-09-03,262.60,AED,CARD,سالك - تعبئة
POS-D5B812A7,2025-08-05,102.28,AED,CARD,ENOC EPPCO Service Station
BNK-A5153B48,2025-10-19,302.16,AED,CARD,IKEA Dubai Festival City
CRD-3F67D317,2025-07-26,345.91,AED,WALLET,KFC UAE
CRD-DC5C6366,2025-08-03,675.50,AED,CARD,Noon.com
PAY-F36B0E00,2025-09-17,35.08,AED,CARD,فاتورة دو
A2A-4FC823A6,2025-07-31,39.86,AED,A2A,Zomato UAE
BNK-1C6867C9,2025-09-30,227.21,AED,CARD,Deliveroo Payment
POS-E9327CDD,2025-10-08,657.51,AED,A2A,AADC Payment
CRD-6FDBD80E,2025-08-14,131.65,AED,CARD,Talabat Order
POS-DAF76316,2025-08-01,97.55,AED,CARD,Subway
A2A-3C6B2686,2025-10-21,120.46,AED,CARD,Careem Ride
BNK-AEFAFE9C,2025-08-16,278.95,AED,CARD,Subway
BNK-D8667D54,2025-10-07,858.78,AED,WALLET,ADDC Bill Payment
CRD-6C41B896,2025-10-18,131.35,AED,SO,ADNOC Service Station Abu Dhabi
BNK-FAC98AD8,2025-08-18,177.63,AED,SO,STARZPLAY Arabia
POS-04ACD5C9,2025-08-10,15.05,AED,A2A,Caribou Coffee
PAY-6F15A1A2,2025-09-14,176.06,AED,CARD,Anghami Plus
BNK-8D16B09F,2025-09-24,787.82,AED,CARD,Amazon AE
CRD-EDC94ACF,2025-10-20,273.04,AED,CARD,Dragon Mart Purchase
POS-8E81E8D0,2025-09-26,492.74,AED,CARD,Jumbo Electronics
BNK-B3C8D7F3,2025-10-16,553.98,AED,CARD,Carrefour Hypermarket Mall of the Emirates
BNK-FEEE5654,2025-10-22,667.82,AED,CARD,Dubai Duty Free
POS-1EF1BCF2,2025-09-21,38.44,AED,CARD,Caribou Coffee
PAY-2E1609AD,2025-09-26,224.16,AED,WALLET,Etihad Airways
CRD-A43AAE01,2025-08-29,687.26,AED,CARD,Virgin Megastore Dubai Mall
POS-9849C9F6,2025-09-01,248.11,AED,A2A,BinSina Pharmacy
A2A-B3AB8FD0,2025-08-22,253.49,AED,CARD,Papa John's
PAY-EF56D045,2025-10-20,237.87,AED,CARD,Nando's
PAY-0717192C,2025-10-09,74.83,AED,A2A,Careem Ride
POS-58F5580C,2025-08-06,1025.48,AED,CARD,Emax Electronics
BNK-690616D8,2025-10-05,78.60,AED,CARD,اتصالات - Recharge e&
PAY-2F142217,2025-08-14,584.67,AED,A2A,IKEA Dubai Festival City
CRD-7B7E430C,2025-09-30,277.48,AED,WALLET,Etisalat Recharge
CRD-5FFB4749,2025-08-24,936.76,AED,CARD,Union Coop Al Barsha
A2A-D9AD53C8,2025-08-29,169.97,AED,CARD,Caribou Coffee
PAY-AA14A34A,2025-10-18,208.22,AED,CARD,Supercare Pharmacy
BNK-8C00B97B,2025-10-10,308.97,AED,CARD,Nando's
A2A-E1F31A4E,2025-08-29,612.50,AED,CARD,Dubai Duty Free
BNK-0695AA70,2025-09-29,279.70,AED,CARD,Caribou Coffee
POS-5941BA18,2025-10-20,379.87,AED,CARD,Union Coop Al Barsha
CRD-F1A8232C,2025-10-03,732.00,AED,CARD,Supercare Pharmacy
A2A-624D4067,2025-10-01,1104.41,AED,CARD,IKEA Dubai Festival City
BNK-4F2EA14C,2025-10-14,347.97,AED,CARD,du Bill Payment
A2A-65AF612B,2025-09-24,153.22,AED,A2A,Pizza Hut
CRD-BA4544AF,2025-10-15,320.87,AED,CARD,Dragon Mart Purchase
CRD-AA12804A,2025-10-03,94.54,AED,A2A,Careem Ride
A2A-E56F03E2,2025-08-12,140.59,AED,CARD,VOX Cinemas
A2A-C0143D36,2025-09-19,1004.51,AED,A2A,Mediclinic Dubai
BNK-164618FB,2025-08-13,1460.50,AED,CARD,RTA Taxi
POS-10DA44E1,2025-07-29,677.47,AED,SO,ACE Hardware Dubai
CRD-02A6A709,2025-09-08,64.19,AED,A2A,اتصالات - Recharge e&
PAY-199FBADE,2025-07-30,195.90,AED,CARD,Talabat Order
PAY-C094B018,2025-10-23,157.62,AED,CARD,ADNOC Service Station Abu Dhabi
A2A-0AF6C20B,2025-08-10,761.98,AED,REM,NMC Hospital
POS-551282F3,2025-10-19,343.92,AED,CARD,Costa Coffee
A2A-67887FCD,2025-08-05,233.03,AED,CARD,Aster Clinic
BNK-1C25484B,2025-09-04,1006.91,AED,CARD,Lulu Hypermarket Dubai
BNK-49F4927D,2025-08-14,219.19,AED,CARD,Etisalat Recharge
POS-5D691F9C,2025-08-03,105.33,AED,CARD,Spotify Subscription
A2A-6C477B53,2025-09-14,781.22,AED,CARD,Virgin Megastore Dubai Mall
A2A-B6CC590C,2025-08-28,89.17,AED,CARD,Emarat Service Station
POS-D957D400,2025-07-31,70.10,AED,CARD,RTA NOL Recharge
POS-E5B8D179,2025-10-08,78.80,AED,A2A,GymNation Membership
POS-31A3B57B,2025-08-29,69.26,AED,CARD,Caribou Coffee
CRD-C548ADC2,2025-10-07,917.99,AED,A2A,Lulu Hypermarket Dubai
POS-048004AC,2025-09-23,807.75,AED,REM,SEWA Bill Payment
POS-A0868C08,2025-07-26,1069.25,AED,A2A,ACE Hardware Dubai
CRD-ABD02AB8,2025-08-22,70.05,AED,CARD,Starbucks
BNK-FC648377,2025-08-31,667.70,AED,WALLET,Virgin Megastore Dubai Mall
BNK-ECB32E5B,2025-09-11,897.92,AED,REM,AADC Payment
POS-A16B9F92,2025-07-28,65.63,AED,CARD,Tim Hortons
BNK-F33690BE,2025-08-18,278.77,AED,CARD,Virgin Mobile UAE
PAY-EF37C57C,2025-08-04,41.30,AED,A2A,Shahid VIP
A2A-22E2D369,2025-09-16,31.23,AED,A2A,Emax Electronics
POS-5D4C9395,2025-10-04,281.26,AED,CARD,Caribou Coffee
BNK-78D88CCA,2025-10-21,470.51,AED,WALLET,Dubai Duty Free
PAY-1398CB7B,2025-08-05,30.62,AED,WALLET,Deliveroo Payment
BNK-9603B38F,2025-08-06,70.02,AED,A2A,Salik Top-up
A2A-FC26F6B0,2025-10-04,341.26,AED,A2A,Starbucks
CRD-3104808B,2025-07-26,42.06,AED,A2A,RTA NOL Recharge
